,name,mileage,price,owners,body,int,ext,vin,engine,tm,drive,fuel,height,length,width,gclear,wheelb,ftrackw,mpg,rtrackw
14,2019 Dodge Grand Caravan,"SXT | 6,278 miles","$20,500",1,Van Minivan,Black,Octane Red Pearl Coat,2C4RDGCG4KR699445,Pentastar 3.6L Flex Fuel V6 283hp 260ft. lbs.,Automatic,FWD,Flex Fuel,"69""","203.7""","88.5""","5.8""","121.2""","65.6""",12 City / 18 Hwy,"64.8"""
15,2019 Nissan Kicks,"SV | 5,997 miles","$18,300",1,SUV,Black,Orange,3N1CP5CU5KL550761,1.6L I4 122hp 114ft. lbs.,Other,FWD,Gasoline,"62.4""","169.1""","69.3""","7""","103.1""","59.8""",31 City / 36 Hwy,"60.4"""
22,2019 Dodge Grand Caravan,"SXT | 6,549 miles","$20,470",1,Van Minivan,Black,Billet Clear Coat,2C4RDGCG9KR672516,Pentastar 3.6L Flex Fuel V6 283hp 260ft. lbs.,Automatic,FWD,Flex Fuel,"69""","203.7""","88.5""","5.8""","121.2""","65.6""",12 City / 18 Hwy,"64.8"""
26,2019 Honda Civic,"EX | 14,031 miles","$20,900",1,Coupe,Gray,Crystal Black Pearl,2HGFC3B33KH356386,1.5L Turbo I4 174hp 162ft. lbs.,Automatic,FWD,Gasoline,"54.9""","176.9""","70.8""",Unavailable,"106.3""","60.9""",31 City / 40 Hwy,"61.5"""
27,2017 Lexus RX 350,"Base | 33,089 miles","$33,400",1,SUV,Black,Nebula Gray Pearl,2T2ZZMCA7HC042705,3.5L V6 295hp 267ft. lbs.,Automatic,FWD,Gasoline,"67.7""","192.5""","74.6""","8.2""","109.8""","64.4""",20 City / 27 Hwy,"64"""
28,2018 Audi Q5,"2.0T quattro Premium Plus | 25,803 miles","$34,600",1,SUV,Tan,Brilliant Black,WA1BNAFY7J2058779,2.0L Turbo I4 252hp 273ft. lbs.,Automatic,AWD,Gasoline,"65.3""","183.6""","84.3""","8.2""","111""","63.6""",23 City / 27 Hwy,"63.3"""
29,2018 Honda CR-V,"EX-L | 6,184 miles","$27,600",1,SUV,Gray,Obsidian Blue Pearl,5J6RW1H8XJA000339,1.5L Turbo I4 190hp 179ft. lbs.,Automatic,FWD,Gasoline,"66.1""","180.6""","73""","7.8""","104.7""","63""",28 City / 34 Hwy,"63.7"""
30,2017 Subaru Forester,"2.5i | 24,739 miles","$19,480",1,Wagon,Gray,Grey,JF2SJABC2HH526230,2.5L H4 170hp 174ft. lbs.,Automatic,AWD,Gasoline,"66.4""","181.5""","80""","8.7""","103.9""","60.9""",26 City / 32 Hwy,"61.1"""
31,2018 Nissan Kicks,"S | 15,027 miles","$15,680",1,Wagon,Black,Silver,3N1CP5CUXJL514210,1.6L I4 125hp 115ft. lbs.,Automatic,FWD,Gasoline,"62.4""","169.1""","69.3""","7""","103.1""","59.8""",31 City / 36 Hwy,"60.4"""
32,2017 Mazda CX-5,"Touring | 34,975 miles","$20,150",1,SUV,Black,Machine Gray Metallic,JM3KFACL9H0198180,SKYACTIV-G 2.5L I4 187hp 185ft. lbs.,Automatic,FWD,Gasoline,"66.1""","179.1""","72.5""","7.6""","106.2""","62.8""",24 City / 31 Hwy,"62.8"""
33,2017 Lexus RX 350,"Base | 20,623 miles","$34,980",2,SUV,Black,Obsidian,2T2ZZMCA0HC079658,3.5L V6 295hp 267ft. lbs.,Automatic,FWD,Gasoline,"67.7""","192.5""","74.6""","8.2""","109.8""","64.4""",20 City / 27 Hwy,"64"""
34,2017 Lexus NX 200t,"F SPORT | 36,350 miles","$26,980",1,SUV,Black,White,JTJYARBZ7H2073881,2.0L Turbo I4 235hp 258ft. lbs.,Automatic,FWD,Gasoline,"64.8""","182.3""","83.9""","6.9""","104.7""","62.2""",22 City / 28 Hwy,"62.2"""
35,2018 Honda Odyssey,"EX | 43,859 miles","$28,980",1,Van Minivan,Gray,Silver,5FNRL6H7XJB002960,3.5L V6 280hp 262ft. lbs.,Automatic,FWD,Gasoline,"69.6""","203.2""","92.3""",Unavailable,"118.1""","67.3""",19 City / 28 Hwy,"67.2"""
36,2016 Ford Edge,"SEL | 19,996 miles","$20,980",1,SUV,Tan,Black,2FMPK3J91GBC59673,EcoBoost 2.0L Turbo I4 245hp 275ft. lbs.,Automatic,FWD,Gasoline,"68.6""","188.1""","85.8""","7.9""","112.2""","64.8""",20 City / 30 Hwy,"64.7"""
37,2018 BMW 4 Series,"430i Gran Coupe | 36,685 miles","$29,880",2,Sedan,Black,Black Sapphire Metallic,WBA4J1C58JBG75676,2.0L Turbo I4 248hp 258ft. lbs.,Automatic,RWD,Gasoline,"54.7""","182.7""","79.4""","5.1""","110.6""","60.8""",24 City / 34 Hwy,"62.7"""
39,2019 Mazda CX-9,"Touring | 33,287 miles","$27,250",1,SUV,Black,Red,JM3TCBCY8K0307542,SKYACTIV-G 2.5L Turbo I4 250hp 310ft. lbs.,Automatic,AWD,Gasoline,"69""","199.4""","77.5""","8.8""","115.3""","65.3""",20 City / 26 Hwy,"65.2"""
42,2019 Dodge Journey,"GT | 27,294 miles","$19,140",1,SUV,Black,Redline 2 Pearl Coat,3C4PDDEG9KT764497,Pentastar 3.6L V6 283hp 260ft. lbs.,Automatic,AWD,Gasoline,"66.6""","192.4""","83.7""","7.2""","113.8""","61.8""",16 City / 24 Hwy,"62.3"""
43,2018 Alfa Romeo Stelvio,"Ti | 13,722 miles","$31,800",1,SUV,Black,Basalto Brown Metallic,ZASFAKBN7J7B96837,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
44,2019 Ford Explorer,"Sport | 32,901 miles","$33,900",1,SUV,Black,Black,1FM5K8GT6KGA97273,EcoBoost 3.5L Twin Turbo V6 365hp 350ft. lbs.,Automatic,4x4,Gasoline,"71""","198.3""","90.2""","8.3""","112.8""","67""",16 City / 22 Hwy,"67"""
45,2019 BMW X3,"sDrive30i | 8,235 miles","$37,400",1,SUV,Black,Black,5UXTR7C52KLE96344,2.0L Turbo I4 248hp 258ft. lbs.,Automatic,RWD,Gasoline,"66""","185.9""","84.2""","8""","112.8""","63.8""",23 City / 30 Hwy,"64.4"""
46,2019 Chevrolet Impala,"LT | 30,264 miles","$18,500",1,Sedan,Black,White,2G11Z5SA9K9138229,Ecotec 2.5L I4 197hp 191ft. lbs.,Automatic,FWD,Gasoline,"58.9""","201.3""","84.3""",Unavailable,"111.7""","62.2""",22 City / 29 Hwy,"62"""
47,2019 Buick Enclave,"Essence | 28,795 miles","$27,700",1,SUV,Gray,Silver,5GAERBKW6KJ189549,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
48,2017 Kia Sorento,"LX | 71,696 miles","$15,060",1,SUV,Black,Silver,5XYPG4A3XHG221623,2.4L I4 185hp 178ft. lbs.,Automatic,FWD,Gasoline,"66.5""","187.4""","74.4""","7.3""","109.4""","64.3""",21 City / 28 Hwy,"64.7"""
49,2018 Alfa Romeo Stelvio,"Ti | 15,262 miles","$29,500",1,SUV,Black,Vesuvio Gray Metallic,ZASFAKBN0J7B80849,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
50,2018 Alfa Romeo Stelvio,"Sport | 17,346 miles","$29,100",1,Wagon,Black,Grey,ZASFAKPN6J7B93730,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
52,2019 Mazda CX-9,"Touring | 37,077 miles","$27,370",1,SUV,Tan,Black,JM3TCBCY5K0312889,SKYACTIV-G 2.5L Turbo I4 250hp 310ft. lbs.,Automatic,AWD,Gasoline,"69""","199.4""","77.5""","8.8""","115.3""","65.3""",20 City / 26 Hwy,"65.2"""
53,2019 Toyota Sienna,"LE | 34,143 miles","$25,300",1,Van Minivan,Gray,Midnight Black Metallic,5TDKZ3DC1KS997515,3.5L V6 296hp 263ft. lbs.,Automatic,FWD,Gasoline,"70.7""","200.6""","78.1""","6.5""","119.3""","67.7""",19 City / 27 Hwy,"67.7"""
54,2019 Buick Enclave,"Essence | 40,200 miles","$26,120",1,SUV,Gray,Silver,5GAERBKWXKJ184743,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
55,2019 Mazda CX-9,"Touring | 29,434 miles","$27,600",1,SUV,Black,Red,JM3TCBCY0K0308359,SKYACTIV-G 2.5L Turbo I4 250hp 310ft. lbs.,Automatic,AWD,Gasoline,"69""","199.4""","77.5""","8.8""","115.3""","65.3""",20 City / 26 Hwy,"65.2"""
56,2018 Alfa Romeo Giulia,"Ti Sport | 18,261 miles","$31,200",1,Sedan,Red,Stromboli Gray Metallic,ZARFAEEN6J7590972,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"57.1""","182.6""","79.7""",Unavailable,"111""","61.3""",23 City / 31 Hwy,"63.9"""
57,2018 Alfa Romeo Stelvio,"Sport | 14,944 miles","$29,900",1,SUV,Black,Vesuvio Gray Metallic,ZASFAKPN3J7B68364,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
58,2017 Mazda CX-5,"Sport | 28,357 miles","$19,540",1,SUV,Black,White,JM3KFABL3H0196250,SKYACTIV-G 2.5L I4 187hp 185ft. lbs.,Automatic,FWD,Gasoline,"66.1""","179.1""","72.5""","7.6""","106.2""","62.8""",24 City / 31 Hwy,"62.8"""
60,2018 Alfa Romeo Stelvio,"Ti Sport | 10,773 miles","$32,800",1,Wagon,Red,Red,ZASFAKNN0J7B97517,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
61,2019 Mercedes-Benz GLA,"GLA 250 | 10,117 miles","$29,680",1,SUV,Black,White,WDCTG4EB2KU011310,2.0L Turbo I4 208hp 258ft. lbs.,Automatic,FWD,Gasoline,"58.8""","173.9""","79.6""","5.3""","106.3""","61.4""",24 City / 33 Hwy,"60.8"""
64,2018 Alfa Romeo Stelvio,"Base | 19,530 miles","$29,900",1,Wagon,Black,Stromboli Gray Metallic,ZASFAKAN7J7B66691,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
65,2018 Alfa Romeo Stelvio,"Sport | 13,324 miles","$31,300",1,SUV,Black,Alfa White,ZASFAKPN2J7B83549,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
66,2017 Lexus RX 350,"Base | 46,680 miles","$32,000",1,SUV,Black,Caviar,2T2ZZMCAXHC076508,3.5L V6 295hp 267ft. lbs.,Automatic,FWD,Gasoline,"67.7""","192.5""","74.6""","8.2""","109.8""","64.4""",20 City / 27 Hwy,"64"""
67,2017 BMW 5 Series,"530i | 46,355 miles","$28,500",1,Sedan,Black,Imperial Blue Metallic,WBAJA5C39HG896075,2.0L Turbo I4 248hp 258ft. lbs.,Automatic,RWD,Gasoline,"58.2""","194.6""","83.7""","5.7""","117.1""","63""",24 City / 34 Hwy,"63.9"""
69,2019 Hyundai Santa Fe,"SE 2.4L | 13,418 miles","$22,670",1,SUV,Black,Earthy Bronze,5NMS2CAD8KH089213,Theta II 2.4L I4 185hp 178ft. lbs.,Automatic,AWD,Gasoline,"66.1""","187.8""","74.4""","7.3""","108.9""","64.7""",21 City / 27 Hwy,"65"""
70,2019 Hyundai Sonata,"SE | 14,240 miles","$17,460",1,Sedan,Gray,Quartz White Pearl,5NPE24AF7KH767683,Theta II 2.4L I4 185hp 178ft. lbs. SULEV,Automatic,FWD,Gasoline,"58.1""","191.1""","73.4""","5.3""","110.4""","63.5""",26 City / 35 Hwy,"63.8"""
71,2019 Hyundai Santa Fe,"SE 2.4L | 16,595 miles","$22,400",1,SUV,Gray,Silver,5NMS2CAD4KH085093,Theta II 2.4L I4 185hp 178ft. lbs.,Automatic,AWD,Gasoline,"66.1""","187.8""","74.4""","7.3""","108.9""","64.7""",21 City / 27 Hwy,"65"""
73,2019 Ford Escape,"SE | 21,426 miles","$18,100",2,SUV,Gray,Grey,1FMCU0GD2KUB06872,EcoBoost 1.5L Turbo I4 179hp 177ft. lbs.,Automatic,FWD,Gasoline,"66.3""","178.1""","81.8""","7.9""","105.9""","61.5""",23 City / 30 Hwy,"61.6"""
74,2019 Jeep Wrangler Unlimited,"Sahara | 15,467 miles","$41,700",2,SUV,Black,Firecracker Red Clear Coat,1C4HJXEN7KW614721,2.0L Turbo I4 270hp 295ft. lbs.,Automatic,4x4,Gasoline,"73.6""","188.4""","73.8""","10""","118.4""","62.9""",22 City / 24 Hwy,"62.9"""
75,2019 Acura MDX,"SH-AWD w/Advance | 28,627 miles","$42,770",1,SUV,Brown,Brown,5J8YD4H82KL016812,3.5L V6 290hp 267ft. lbs.,Automatic,AWD,Gasoline,"67.4""","196.2""","77.7""","7.3""","111""","66.3""",19 City / 26 Hwy,"66.3"""
76,2019 Subaru Crosstrek,"2.0i Premium | 15,414 miles","$24,450",2,Wagon,Black,Dark Gray Metallic,JF2GTACC5KH243875,2.0L H4 152hp 145ft. lbs.,Automatic,AWD,Gasoline,"63.6""","175.8""","79""","8.7""","104.9""","61""",27 City / 33 Hwy,"61.2"""
77,2018 Alfa Romeo Stelvio,"Ti Sport | 18,298 miles","$32,800",1,Wagon,Black,Red,ZASFAKNN2J7C01731,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
78,2019 Buick Enclave,"Essence | 38,483 miles","$26,140",1,SUV,Gray,Red,5GAERBKW5KJ193169,3.6L V6 310hp 266ft. lbs.,Automatic,FWD,Gasoline,"69.9""","204.3""","89.3""","7.7""","120.9""","67.3""",18 City / 26 Hwy,"67"""
79,2019 Hyundai Santa Fe,"SEL 2.4L | 10,681 miles","$24,730",1,SUV,Black,Twilight Black,5NMS3CAD0KH011912,Theta II 2.4L I4 185hp 178ft. lbs.,Automatic,AWD,Gasoline,Unavailable,"187.8""","74.4""","7.3""","108.9""","64.7""",21 City / 27 Hwy,"65"""
80,2017 BMW 5 Series,"540i | 39,868 miles","$33,170",1,Sedan,Black,Jet Black,WBAJE5C39HG914093,3.0L Turbo I6 335hp 332ft. lbs.,Automatic,RWD,Gasoline,"58.2""","194.6""","83.7""","5.7""","117.1""","63""",20 City / 30 Hwy,"63.9"""
81,2018 Alfa Romeo Stelvio,"Ti Sport | 19,333 miles","$30,890",1,SUV,Black,Misano Blue Metallic,ZASFAKNN1J7C03471,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
82,2017 Kia Soul EV,"Base | 24,327 miles","$14,700",1,SUV,Gray,Clear White,KNDJP3AE7H7020017,Electric 109hp 210ft. lbs.,Automatic,FWD,Electric,"63""","163""","70.9""","5.9""","101.2""","62""",120 City / 92 Hwy,"62.4"""
83,2019 Hyundai Santa Fe,"Ultimate 2.4L | 20,411 miles","$29,400",1,SUV,Gray,Symphony Silver,5NMS53ADXKH014763,Theta II 2.4L I4 185hp 178ft. lbs.,Automatic,FWD,Gasoline,"67.1""","187.8""","74.4""","7.3""","108.9""","64.7""",22 City / 29 Hwy,"65"""
84,2019 Chevrolet Traverse,"High Country | 20,198 miles","$44,250",1,SUV,Brown,White,1GNEVJKW1KJ204700,3.6L V6 310hp 266ft. lbs.,Automatic,AWD,Gasoline,"70.7""","204.3""","78.6""",Unavailable,"120.9""","67.3""",17 City / 25 Hwy,"67"""
85,2019 Hyundai Tucson,"Ultimate | 14,459 miles","$28,120",1,SUV,Black,Coliseum Gray,KM8J3CALXKU916018,2.4L I4 181hp 175ft. lbs.,Automatic,AWD,Gasoline,"65""","176.4""","72.8""","6.4""","105.1""","63.3""",21 City / 26 Hwy,"63.8"""
86,2017 Kia Soul EV,"EV-E | 25,444 miles","$14,800",1,SUV,Gray,Clear White,KNDJP3AEXH7019699,Electric 109hp 210ft. lbs.,Automatic,FWD,Electric,"63""","163""","70.9""","5.9""","101.2""","62""",120 City / 92 Hwy,"62.4"""
87,2017 Hyundai Tucson,"SE Plus | 36,002 miles","$18,000",1,SUV,Tan,Mojave Sand,KM8J33A45HU535422,2.0L I4 164hp 151ft. lbs.,Automatic,FWD,Gasoline,"65""","176.2""","72.8""","6.4""","105.1""","63.3""",23 City / 30 Hwy,"63.8"""
88,2017 Kia Cadenza,"Premium | 20,807 miles","$20,600",1,Sedan,Tan,Black,KNALB4J10H5057333,3.3L V6 290hp 253ft. lbs.,Automatic,FWD,Gasoline,"57.9""","195.7""","73.6""","5.4""","112.4""","63.3""",20 City / 28 Hwy,"63.6"""
89,2019 Kia Sorento,"EX | 5,484 miles","$28,710",1,SUV,Black,Sparkling Silver,5XYPH4A59KG546835,3.3L V6 290hp 252ft. lbs.,Automatic,FWD,Gasoline,"66.5""","189""","74.4""","7.3""","109.4""",Unavailable,19 City / 26 Hwy,Unavailable
90,2017 Hyundai Ioniq Electric,"Limited | 45,594 miles","$16,700",1,Hatchback,Gray,White,KMHC05LH0HU013410,Electric 118hp 215ft. lbs.,Automatic,FWD,Electric,"57.1""","176""","71.7""","5.5""","106.3""","61.2""",150 City / 122 Hwy,"61.8"""
91,2017 BMW 5 Series,"530i | 39,475 miles","$30,100",1,Sedan,Black,Black,WBAJA5C32HG896760,2.0L Turbo I4 248hp 258ft. lbs.,Automatic,RWD,Gasoline,"58.2""","194.6""","83.7""","5.7""","117.1""","63""",24 City / 34 Hwy,"63.9"""
92,2018 Alfa Romeo Stelvio,"Ti | 18,800 miles","$31,200",1,SUV,Black,Black,ZASFAKBNXJ7C02727,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
93,2018 Alfa Romeo Stelvio,"Ti | 12,221 miles","$31,500",1,Wagon,Black,Montecarlo Blue Metallic,ZASFAKBNXJ7B95357,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
95,2017 BMW 5 Series,"530i | 31,054 miles","$31,900",1,Sedan,Brown,Grey,WBAJA5C38HG896049,2.0L Turbo I4 248hp 258ft. lbs.,Automatic,RWD,Gasoline,"58.2""","194.6""","83.7""","5.7""","117.1""","63""",24 City / 34 Hwy,"63.9"""
96,2017 INFINITI QX60,"Base | 37,821 miles","$27,010",1,SUV,Black,White,5N1DL0MNXHC545952,3.5L V6 295hp 270ft. lbs.,Other,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
97,2019 Volkswagen Tiguan,"SE | 12,796 miles","$23,900",1,SUV,Black,Black,3VV3B7AX2KM198822,2.0L Turbo I4 184hp 221ft. lbs.,Automatic,FWD,Gasoline,"66.3""","185.1""","72.4""","7.9""","109.8""","62.2""",22 City / 29 Hwy,"61.8"""
98,2018 Audi Q3,"Premium | 45,599 miles","$22,000",1,SUV,Black,Mythos Black Metallic,WA1BCCFS7JR005679,2.0L Turbo I4 200hp 207ft. lbs.,Automatic,FWD,Gasoline,"62.6""","172.8""","79.5""","6.7""","102.5""","61.1""",20 City / 28 Hwy,"61.2"""
99,2017 INFINITI QX60,"Base | 29,309 miles","$29,350",1,SUV,Black,Blue,5N1DL0MM1HC542770,3.5L V6 295hp 270ft. lbs.,Other,AWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",19 City / 26 Hwy,"65.7"""
100,2017 INFINITI QX50,"Base | 27,232 miles","$21,320",1,SUV,Tan,Black,JN1BJ0RP9HM386172,3.7L V6 325hp 267ft. lbs.,Automatic,RWD,Gasoline,"62.7""","186.8""","71""","6.9""","113.4""","60.4""",17 City / 24 Hwy,"61"""
101,2018 Audi Q5,"2.0T quattro Premium | 14,937 miles","$32,100",1,SUV,Black,Black,WA1ANAFY0J2020905,2.0L Turbo I4 252hp 273ft. lbs.,Automatic,AWD,Gasoline,"65.3""","183.6""","84.3""","8.2""","111""","63.6""",23 City / 27 Hwy,"63.3"""
102,2017 INFINITI QX50,"Base | 38,561 miles","$20,810",1,SUV,Black,Graphite Shadow,JN1BJ0RP3HM386149,3.7L V6 325hp 267ft. lbs.,Automatic,RWD,Gasoline,"62.7""","186.8""","71""","6.9""","113.4""","60.4""",17 City / 24 Hwy,"61"""
103,2017 INFINITI QX30,"Premium | 20,325 miles","$23,100",1,SUV,Tan,Gold,SJKCH5CP8HA035948,2.0L Turbo I4 208hp 258ft. lbs.,Automatic,FWD,Gasoline,"59.4""","174.2""","82""","6.8""","106.3""","61.9""",24 City / 33 Hwy,"61.9"""
104,2017 INFINITI QX60,"Base | 46,220 miles","$28,230",2,SUV,Brown,Black,5N1DL0MM5HC527107,3.5L V6 295hp 270ft. lbs.,Other,AWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",19 City / 26 Hwy,"65.7"""
105,2018 INFINITI QX30,"Premium | 24,280 miles","$22,280",1,SUV,Black,Copper,SJKCH5CP6JA044072,2.0L Turbo I4 208hp 258ft. lbs.,Automatic,FWD,Gasoline,"59.5""","174.2""","82""","6.8""","106.3""","61.9""",24 City / 33 Hwy,"61.9"""
106,2017 INFINITI QX60,"Base | 40,439 miles","$26,330",1,SUV,Black,Hagane Blue,5N1DL0MN3HC541645,3.5L V6 295hp 270ft. lbs.,Automatic,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
107,2017 INFINITI QX60,"Base | 37,742 miles","$27,160",1,SUV,Black,Blue,5N1DL0MN7HC526615,3.5L V6 295hp 270ft. lbs.,Other,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
108,2017 INFINITI QX50,"Base | 33,638 miles","$21,130",1,SUV,Black,Black,JN1BJ0RP2HM381461,3.7L V6 325hp 267ft. lbs.,Automatic,RWD,Gasoline,"62.7""","186.8""","71""","6.9""","113.4""","60.4""",17 City / 24 Hwy,"61"""
109,2019 Volkswagen Tiguan,"2.0T SE | 10,196 miles","$23,400",1,SUV,Black,Pure White,3VV3B7AX9KM025010,2.0L Turbo I4 184hp 221ft. lbs.,Automatic,FWD,Gasoline,"66.3""","185.1""","72.4""","7.9""","109.8""","62.2""",22 City / 29 Hwy,"61.8"""
110,2017 INFINITI QX60,"Base | 44,112 miles","$25,790",1,SUV,Gray,Black Obsidian,5N1DL0MN3HC552600,3.5L V6 295hp 270ft. lbs.,Automatic,FWD,Gasoline,"68.6""","200.1""","77.2""","6.5""","114.2""","65.7""",20 City / 27 Hwy,"65.7"""
111,2018 Alfa Romeo Stelvio,"Base | 12,550 miles","$28,000",1,SUV,Brown,Alfa Rosso,ZASFAKAN4J7B83657,2.0L Turbo I4 280hp 306ft. lbs.,Automatic,AWD,Gasoline,"66""","184.6""","74.9""","8.1""","111""","63.5""",22 City / 28 Hwy,"65"""
112,2019 Dodge Grand Caravan,"SXT | 3,299 miles","$20,850",1,Van Minivan,Black,Granite Pearl Coat,2C4RDGCG9KR699408,Pentastar 3.6L Flex Fuel V6 283hp 260ft. lbs.,Automatic,FWD,Flex Fuel,"69""","203.7""","88.5""","5.8""","121.2""","65.6""",12 City / 18 Hwy,"64.8"""
